,id,type,link
0,1,1,/doi/10.1145/3010089.3010090
1,2,2,/profile/99659131541
2,3,2,/profile/99659058127
3,4,1,/doi/10.1145/3291801.3291822
4,5,2,/profile/99659060865
5,6,2,/profile/81500642456
6,7,2,/profile/99659342747
7,8,1,/doi/10.1145/2513591.2527071
8,9,2,/profile/81100432224
9,10,2,/profile/81100111213
10,11,2,/profile/81100314798
11,12,1,/doi/10.1145/3158352
12,13,2,/profile/81100452038
13,14,2,/profile/81100412818
14,15,2,/profile/81100607924
15,16,2,/profile/99659039589
16,17,1,/doi/10.1145/2611040.2611042
17,18,2,/profile/81100458283
18,19,1,/doi/10.1145/3010089.3010143
19,20,2,/profile/81458645145
20,21,1,/doi/10.1145/2640087.2644175
21,22,2,/profile/99659838442
22,23,1,/doi/10.1145/3090354.3090401
23,24,2,/profile/99659192088
24,25,2,/profile/99659190930
25,26,2,/profile/99659190672
26,27,1,/doi/10.1145/3647722.3647725
27,28,2,/profile/99661194829
28,29,1,/doi/10.1145/2351316.2351318
29,30,2,/profile/81319492485
30,31,2,/profile/81508702912
31,32,2,/profile/81508693709
32,33,2,/profile/81508705533
33,34,1,/doi/10.1145/3361758.3361768
34,35,2,/profile/99659483587
35,36,2,/profile/81351605289
36,37,1,/doi/10.1145/2837060.2837068
37,38,2,/profile/99659083765
38,39,2,/profile/99659084832
39,40,2,/profile/81477643309
40,41,2,/profile/99659084050
41,42,1,/doi/10.1145/2658840.2658845
42,43,2,/profile/99658632000
43,44,2,/profile/99658631194
44,45,2,/profile/99658632825
45,46,2,/profile/99658634063
46,47,2,/profile/99658632465
47,48,2,/profile/99658633056
48,49,2,/profile/99658631027
49,50,2,/profile/99658632574
50,51,2,/profile/81467663961
51,52,2,/profile/99658632107
52,53,2,/profile/99658632139
53,54,2,/profile/81408601880
54,55,1,/doi/10.1145/3195528.3195533
55,56,2,/profile/81392618108
56,57,2,/profile/99659286657
57,58,1,/doi/10.1145/3141128.3141139
58,59,2,/profile/99659119945
59,60,2,/profile/81100612679
60,61,1,/doi/10.1145/2524248.2524253
61,62,2,/profile/83458821657
62,63,1,/doi/10.1145/3010089.3017606
63,64,2,/profile/99658754451
64,65,2,/profile/81486654522
65,66,1,/doi/10.1145/3216122.3216154
66,67,2,/profile/99658739863
67,68,2,/profile/81100152856
68,69,2,/profile/81100081423
69,70,1,/doi/10.1145/3210284.3214344
70,71,2,/profile/99659490377
71,72,1,/doi/10.1145/3090354.3090376
72,73,2,/profile/99659192204
73,74,2,/profile/99659190438
